#77
clEnqueueNDRangeKernel('ifft_multi_radix_rows', dims=2, globalsize=160x768x1, localsize=160x1x1) sync=false
clEnqueueNDRangeKernel('ifft_multi_radix_cols', dims=2, globalsize=641x96x1, localsize=1x96x1) sync=false
clEnqueueNDRangeKernel('gemm', dims=2, globalsize=16x80x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('gemm', dims=2, globalsize=48x80x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('gemm', dims=2, globalsize=32x80x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('gemm', dims=2, globalsize=16x16x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('morph', dims=2, globalsize=16x32x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('row_filter_C1_D0', dims=2, globalsize=16x48x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('row_filter', dims=2, globalsize=16x32x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('laplacian', dims=2, globalsize=16x16x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('medianFilter5', dims=2, globalsize=32x32x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('medianFilter3', dims=2, globalsize=32x32x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('row_filter_C1_D0', dims=2, globalsize=16x64x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('row_filter', dims=2, globalsize=64x64x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('sobel3', dims=2, globalsize=16x32x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('sobel5', dims=2, globalsize=16x32x1, localsize=16x16x1) sync=false
clEnqueueNDRangeKernel('pyrDown', dims=2, globalsize=256x6x1, localsize=256x1x1) sync=false
clEnqueueNDRangeKernel('pyrUp', dims=2, globalsize=32x48x1, localsize=16x16x1) sync=false
